Sleeping_place_fixed_or_not,Division,Work_hour,Age,Eating_location,Aware_of_organizations,school_attend
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,more than 14,Street Shop,No,No
No,Dhaka,upto 8hr,more than 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
No,Dhaka,upto 8hr,more than 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
No,Dhaka,upto 8hr,more than 14,Street Shop,No,No
No,Dhaka,upto 8hr,less than 11,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
No,Dhaka,upto 8hr,more than 14,Street Shop,No,No
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Begging or collecting from dustbin,No,Yes
No,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,less than 11,Street Shop,No,No
Yes,Dhaka,upto 8hr,more than 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,less than 11,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,less than 11,Street Shop,No,No
Yes,Dhaka,more than 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,more than 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,more than 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,less than 11,Street Shop,No,No
Yes,Dhaka,upto 8hr,more than 14,Street Shop,No,Yes
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Dhaka,upto 8hr,more than 14,Street Shop,No,No
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Begging or collecting from dustbin,No,Yes
No,Dhaka,from 8 to 12 hr,from 11  to 14,Begging or collecting from dustbin,No,No
No,Dhaka,from 8 to 12 hr,more than 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,Yes
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
No,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,Yes
No,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,Yes
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,Yes,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
No,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,less than 11,Street Shop,No,No
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,more than 14,Street Shop,No,Yes
Yes,Dhaka,more than 12 hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,more than 12 hr,less than 11,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,Yes
Yes,Dhaka,from 8 to 12 hr,less than 11,Begging or collecting from dustbin,No,No
Yes,Dhaka,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Dhaka,more than 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,more than 12 hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Dhaka,upto 8hr,more than 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,more than 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,less than 11,Begging or collecting from dustbin,No,Yes
Yes,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Begging or collecting from dustbin,No,Yes
Yes,Dhaka,upto 8hr,more than 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Begging or collecting from dustbin,No,No
No,Dhaka,upto 8hr,less than 11,Street Shop,Yes,Yes
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,Yes,Yes
Yes,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,less than 11,Street Shop,Yes,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,Yes,No
Yes,Dhaka,upto 8hr,less than 11,Street Shop,Yes,Yes
Yes,Dhaka,from 8 to 12 hr,less than 11,Street Shop,Yes,Yes
Yes,Dhaka,upto 8hr,less than 11,Street Shop,No,Yes
Yes,Dhaka,more than 12 hr,more than 14,Begging or collecting from dustbin,No,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Dhaka,upto 8hr,less than 11,Street Shop,Yes,Yes
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,Yes,Yes
No,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,from 11  to 14,Begging or collecting from dustbin,No,No
Yes,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Begging or collecting from dustbin,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Chittagong,from 8 to 12 hr,from 11  to 14,Begging or collecting from dustbin,No,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,more than 14,Street Shop,No,Yes
No,Chittagong,upto 8hr,more than 14,Street Shop,No,No
No,Chittagong,upto 8hr,less than 11,Street Shop,No,No
No,Chittagong,upto 8hr,less than 11,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,less than 11,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
No,Chittagong,upto 8hr,less than 11,Begging or collecting from dustbin,No,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,less than 11,Street Shop,No,No
